File,StatechartName,NumStates,AvgDepth,MaxDepth,StandardEvosuiteCoverage,StandardSCTUnitCoverage,StandardSCTUnitStatus,SimplifiedEvosuiteCoverage,SimplifiedSCTUnitCoverage,SimplifiedSCTUnitStatus
01_LightSwitch.ysc,_01_LightSwitch,2,1,1,0.955913978494624,1,FAILED,0.906810035842294,1,PASSED
01_no_hierarchy.ysc,_01_no_hierarchy,5,1,1,0.567307692307692,0,PASSED,0.592352092352092,0.31,PASSED
01_no_history.ysc,_01_No_History,8,2.25,3,0.556383018237195,0,PASSED,0.651010101010101,0.61,PASSED
02_composite_states.ysc,_02_composite_states,7,1.57142857142857,2,0.563621615413329,0,PASSED,0.645507708665603,0.54,PASSED
02_DimmableLightSwitch.ysc,_02_DimmableLightSwitch,2,1,1,0.960845460845461,0.87,FAILED,0.908408408408408,1,PASSED
02_shallow_history.ysc,_02_shallow_history,8,2.25,3,0.553589685168633,0,PASSED,0.665257727489487,0.76,PASSED
03_deep_history.ysc,_03_deep_history,8,2.25,3,0.548744050693368,0,PASSED,0.582457225314368,0.42,PASSED
03_MotionLightSwitch.ysc,_03_MotionLightSwitch,6,1.66666666666667,2,0.535923141186299,0,PASSED,0.910714285714286,0.94,PASSED
03_nested_composite_states.ysc,_03_nested_composite_states,8,2.25,3,0.556383018237195,0,PASSED,0.691919191919192,0.8,PASSED
04_LightAndMotionSensingLightSwitch.ysc,_04_LightAndMotionSensingLightSwitch,12,2.33333333333333,3,0.468164708854364,0,PASSED,0.641636141636142,0.64,PASSED
04_subdiagrams.ysc,_04_subdiagrams,8,2.25,3,0.556383018237195,0,PASSED,0.666161616161616,0.73,PASSED
05_PresenceSimulationLightSwitch.ysc,_05_PresenceSimulationLightSwitch,9,2.11111111111111,3,0.611333063130874,0,PASSED,0.671047693004595,0.53,PASSED
A.ysc,A,1,1,1,0.627177262151795,0,PASSED,0.885304659498208,0.8,PASSED
Active_Systems_Manager.ysc,Active_Systems_Counter,1,1,1,0.860919540229885,1,FAILED,0.834639498432602,1,PASSED
Actuator_Component.ysc,Actuator_Component,6,1.66666666666667,3,0.555776014109347,0,PASSED,0.716666666666667,0.36,PASSED
AirConditioner_Unit.ysc,AirConditioner_Unit,11,2.09090909090909,3,0.550827263735276,0,PASSED,0.709487306297395,0.91,PASSED
alarm2.ysc,alarm2,4,1,1,0.544470149733308,0,PASSED,0.907407407407407,0.92,PASSED
ArduinoHMI.ysc,ArduinoHMI,19,2.36842105263158,3,0.627790248160619,0,PASSED,0.800318761384335,0.51,PASSED
aufgage_3_pvr.ysc,aufgage_3_pvr,14,1,1,0.948739495798319,0.94,FAILED,0.899346405228758,0.94,PASSED
B.ysc,B,2,1.5,2,0.596156145384983,0,PASSED,0.89159891598916,1,PASSED
bareMetalPolling.ysc,bareMetalPolling,2,1,1,0.57385477582846,0,PASSED,0.962962962962963,1,PASSED
base.ysc,base,3,1,1,0.618973946407575,0,PASSED,0.879547689282203,0.77,PASSED
blink.ysc,blink,7,1.71428571428571,2,0.620949720670391,0,PASSED,0.817815021725636,0.35,PASSED
blink1.ysc,blink1,4,1.5,2,0.679087664145135,0,PASSED,0.911111111111111,0.75,PASSED
blinkyStateMachine.ysc,blinkyStateMachine,3,1,1,0.598330351818724,0,PASSED,0.857323232323232,0.62,PASSED
BouncingBall.ysc,BouncingBall,3,1,1,0.896923076923077,0.37,FAILED,0.901154401154401,1,PASSED
C.ysc,C,3,1,1,0.630555555555556,0,PASSED,0.890277777777778,0.77,PASSED
