TARGET_CLASS,criterion,Coverage,Total_Goals,Covered_Goals
statechart._01_LightSwitchSimplified,BRANCH;METHODNOEXCEPTION;OUTPUT,0.906810035842294,76,68
statechart._01_LightSwitch,BRANCH;METHODNOEXCEPTION;OUTPUT,0.9559139784946237,83,80
statechart._01_no_hierarchySimplified,BRANCH;METHODNOEXCEPTION;OUTPUT,0.5923520923520923,188,112
statechart._01_no_hierarchy,BRANCH;METHODNOEXCEPTION;OUTPUT,0.5673076923076923,197,90
statechart._01_No_HistorySimplified,BRANCH;METHODNOEXCEPTION;OUTPUT,0.651010101010101,254,183
statechart._01_No_History,BRANCH;METHODNOEXCEPTION;OUTPUT,0.5563830182371949,263,105
statechart._02_composite_statesSimplified,BRANCH;METHODNOEXCEPTION;OUTPUT,0.6455077086656034,224,159
statechart._02_composite_states,BRANCH;METHODNOEXCEPTION;OUTPUT,0.5636216154133288,233,100
statechart._02_DimmableLightSwitchSimplified,BRANCH;METHODNOEXCEPTION;OUTPUT,0.9084084084084084,89,80
statechart._02_DimmableLightSwitch,BRANCH;METHODNOEXCEPTION;OUTPUT,0.9608454608454609,101,97
statechart._02_shallow_historySimplified,BRANCH;METHODNOEXCEPTION;OUTPUT,0.6652577274894872,267,202
statechart._02_shallow_history,BRANCH;METHODNOEXCEPTION;OUTPUT,0.5535896851686325,276,107
statechart._03_deep_historySimplified,BRANCH;METHODNOEXCEPTION;OUTPUT,0.5824572253143682,279,150
statechart._03_deep_history,BRANCH;METHODNOEXCEPTION;OUTPUT,0.5487440506933684,288,106
statechart._03_MotionLightSwitchSimplified,BRANCH;METHODNOEXCEPTION;OUTPUT,0.9107142857142857,187,169
statechart._03_MotionLightSwitch,BRANCH;METHODNOEXCEPTION;OUTPUT,0.535923141186299,202,74
statechart._03_nested_composite_statesSimplified,BRANCH;METHODNOEXCEPTION;OUTPUT,0.6919191919191919,254,210
