File,StatechartName,NumStates,AvgDepth,MaxDepth,StandardEvosuiteCoverage,StandardSCTUnitCoverage,StandardSCTUnitStatus,SimplifiedEvosuiteCoverage,SimplifiedSCTUnitCoverage,SimplifiedSCTUnitStatus
01_LightSwitch.ysc,_01_LightSwitch,2,1,1,0.955913978494624,1.00,FAILED,0.906810035842294,1.00,PASSED
01_no_hierarchy.ysc,_01_no_hierarchy,5,1,1,0.682692307692308,0.00,PASSED,0.782828282828283,0.40,PASSED
01_no_history.ysc,_01_No_History,8,2.25,3,0.671767633621811,0.00,PASSED,0.820707070707071,0.80,PASSED
02_composite_states.ysc,_02_composite_states,7,1.57142857142857,2,0.679006230797944,0.00,PASSED,0.829239766081871,0.83,PASSED
02_DimmableLightSwitch.ysc,_02_DimmableLightSwitch,2,1,1,0.960845460845461,0.87,FAILED,0.908408408408408,1.00,PASSED
02_shallow_history.ysc,_02_shallow_history,8,2.25,3,0.668974300553248,0.00,PASSED,0.803051979017644,0.73,PASSED
03_deep_history.ysc,_03_deep_history,8,2.25,3,0.664128666077984,0.00,PASSED,0.803174603174603,0.73,PASSED
03_MotionLightSwitch.ysc,_03_MotionLightSwitch,6,1.66666666666667,2,0.535923141186299,0.00,PASSED,0.912698412698413,1.00,PASSED
03_nested_composite_states.ysc,_03_nested_composite_states,8,2.25,3,0.671767633621811,0.00,PASSED,0.823737373737374,0.88,FAILED
04_LightAndMotionSensingLightSwitch.ysc,_04_LightAndMotionSensingLightSwitch,12,2.33333333333333,3,0.52563597322218,0.00,PASSED,0.784493284493285,0.64,PASSED
04_subdiagrams.ysc,_04_subdiagrams,8,2.25,3,0.671767633621811,0.00,PASSED,0.754040404040404,0.61,PASSED
05_PresenceSimulationLightSwitch.ysc,_05_PresenceSimulationLightSwitch,9,2.11111111111111,3,0.681508501727366,0.00,PASSED,0.769086908690869,0.53,PASSED
A.ysc,A,1,1,1,0.627177262151795,0.00,PASSED,0.885304659498208,0.80,PASSED
Active_Systems_Manager.ysc,Active_Systems_Counter,1,1,1,0.977586206896552,1.00,FAILED,0.864942528735632,1.00,PASSED
Actuator_Component.ysc,Actuator_Component,6,1.66666666666667,3,0.654541446208113,0.00,PASSED,0.761111111111111,0.36,PASSED
AirConditioner_Unit.ysc,AirConditioner_Unit,11,2.09090909090909,3,0.629110092018104,0.00,PASSED,0.822617870095615,0.85,PASSED
alarm2.ysc,alarm2,4,1,1,0.544470149733308,0.00,PASSED,0.913105413105413,1.00,PASSED
ArduinoHMI.ysc,ArduinoHMI,19,2.36842105263158,3,0.627790248160619,0.00,PASSED,0.826275045537341,0.65,PASSED
aufgage_3_pvr.ysc,aufgage_3_pvr,14,1,1,0.951680672268908,0.92,FAILED,0.899346405228758,0.94,PASSED
B.ysc,B,2,1.5,2,0.596156145384983,0.00,PASSED,0.89159891598916,1.00,PASSED
bareMetalPolling.ysc,bareMetalPolling,2,1,1,0.57385477582846,0.00,PASSED,0.962962962962963,1.00,PASSED
base.ysc,base,3,1,1,0.618973946407575,0.00,PASSED,0.879547689282203,0.77,PASSED
blink.ysc,blink,7,1.71428571428571,2,0.620949720670391,0.00,PASSED,0.795468653010553,0.35,PASSED
blink1.ysc,blink1,4,1.5,2,0.679087664145135,0.00,PASSED,0.911111111111111,0.75,PASSED
blinkyStateMachine.ysc,blinkyStateMachine,3,1,1,0.598330351818724,0.00,PASSED,0.857323232323232,0.62,PASSED
BouncingBall.ysc,BouncingBall,3,1,1,0.896923076923077,0.37,FAILED,0.901154401154401,1.00,PASSED
C.ysc,C,3,1,1,0.630555555555556,0.00,PASSED,0.890277777777778,0.77,PASSED
C2.ysc,C2,4,1,1,0.623640661938534,0.00,PASSED,0.894799054373523,0.77,FAILED
Child.ysc,Child,2,1,1,0.934188034188034,1.00,FAILED,0.903418803418803,1.00,PASSED
childfirst.ysc,childfirst,4,1.5,2,0.956823133293722,1.00,FAILED,0.898239823982398,1.00,PASSED
coffeeMachine.ysc,coffeeMachine,7,1,1,0.51199494949495,0.00,PASSED,0.863005050505051,0.65,PASSED
Configure.ysc,Configure,5,1,1,0.601152932035285,0.00,PASSED,0.910130718954248,0.73,PASSED
controller.ysc,controller,2,1,1,0.642133408387278,0.66,PASSED,0.909356725146199,1.00,PASSED
Controller_Component.ysc,Controller_Component,5,1.6,2,0.628031878031878,0.00,PASSED,0.800900900900901,0.62,PASSED
cyclebased.ysc,cyclebased,5,1,1,0.602686202686203,0.00,PASSED,0.879023883696781,0.81,PASSED
D.ysc,D,7,1.85714285714286,2,0.644746947540007,0.00,PASSED,0.896482813749001,0.88,PASSED
DeviceTemp_Component.ysc,DeviceTemp_Component,7,2.14285714285714,3,0.704051277905268,0.00,PASSED,0.715668202764977,0.24,PASSED
DigitalWatch.ysc,DigitalWatch,26,2.19230769230769,4,0.705754399841803,0.00,PASSED,0.715811965811966,0.34,PASSED
E.ysc,E,3,1.66666666666667,2,0.688718871887189,0.00,PASSED,0.898239823982398,0.00,BLOCKED
Elevator.ysc,Elevator,4,1.5,2,0.671476048956636,0.00,PASSED,0.863799283154122,0.91,PASSED
Elevator_Unit.ysc,Elevator_Unit,11,1.90909090909091,3,0.626961857482039,0.00,PASSED,0.775565388397247,0.00,BLOCKED
Environment.ysc,Environment,21,2.85714285714286,5,0.620717227633351,0.00,PASSED,0.775886802295253,0.73,PASSED
EventBuffersDisabled.ysc,EventBuffersDisabled,4,1,1,0.950279493968814,0.66,FAILED,0.877777777777778,0.75,PASSED
EventBuffersEnabled.ysc,EventBuffersEnabled,4,1,1,0.951348345843759,0.66,FAILED,0.908408408408408,0.91,PASSED
eventdriven.ysc,eventdriven,5,1,1,0.555662805662806,0.00,PASSED,0.911411411411412,0.81,PASSED
FireAlarm_Unit.ysc,FireAlarm_Unit,20,2.4,3,0.694550418842492,0.00,PASSED,0.774150743099788,0.71,PASSED
flash.ysc,flash,2,1,1,0.654320987654321,0.00,PASSED,0.903292181069959,0.50,PASSED
heatingSys.ysc,heatingSys,3,1,1,0.518182450285079,0.00,PASSED,0.912529550827423,1.00,PASSED
HUB_PowerManager.ysc,Hub_PowerManager,4,1.25,2,0.707936507936508,0.00,PASSED,0.892592592592593,0.84,PASSED
HUB_Template.ysc,HubTemplate,17,2.58823529411765,4,0.617049032838506,0.00,PASSED,0.46291298045684,0.00,PASSED
IoT_Template.ysc,SmartTemplate,21,2.19047619047619,3,0.625466119200193,0.00,PASSED,0.519512748518109,0.00,PASSED
keyboard.ysc,keyboard,4,1,1,0.949078412995939,1.00,FAILED,0.907407407407407,1.00,PASSED
Lampada.ysc,Lampada,3,1,1,0.944191919191919,1.00,FAILED,0.902777777777778,1.00,PASSED
led.ysc,led,2,1,1,0.956084656084656,1.00,FAILED,0.907407407407407,1.00,PASSED
LEDLight_Unit.ysc,LEDLight_Unit,5,1.8,3,0.629790884580157,0.00,PASSED,0.779835390946502,0.52,PASSED
light.ysc,light,2,1,1,0.628478057889823,0.00,PASSED,0.909150326797386,1.00,PASSED
LightCtrl.ysc,LightCtrl,2,1,1,0.610714285714286,0.00,PASSED,0.908408408408408,0.85,PASSED
light_controller.ysc,light_controller,4,1.5,2,0.492778438142677,0.00,PASSED,0.487582781456954,0.00,PASSED
light_switch.ysc,light_switch,2,1,1,0.655361580893496,0.00,PASSED,0.744858156028369,0.50,PASSED
LineFollower.ysc,LineFollower,3,1,1,0.809405887773413,0.00,PASSED,0.808479532163743,0.46,PASSED
Microwave_Unit.ysc,Microwave_Unit,9,2,3,0.633994166141909,0.00,PASSED,0.845533769063181,0.93,PASSED
motionDetection.ysc,motionDetection,8,2.25,3,0.671767633621811,0.00,PASSED,0.79949494949495,0.73,PASSED
MotorControl.ysc,MotorControl,5,1.8,2,0.954410517387617,0.93,FAILED,0.90373197625106,1.00,PASSED
MqttClientStatechart.ysc,MqttClientStatechart,22,1.95454545454545,3,0.72139418044798,0.00,PASSED,0.671276595744681,0.11,PASSED
musicPlayer.ysc,musicPlayer,39,3.20512820512821,5,0.562593436876914,0.00,PASSED,0.699144954785567,0.42,PASSED
Network_Component.ysc,Network_Component,7,2.42857142857143,4,0.623405797101449,0.00,PASSED,0.854444444444445,0.82,PASSED
onoff.ysc,onoff,24,2.125,3,0.641828566330206,0.00,PASSED,0.789196567862715,0.64,PASSED
OperatingMode.ysc,OperatingMode,5,1,1,0.535961551388049,0.00,PASSED,0.750974658869396,0.17,PASSED
