TARGET_CLASS,criterion,Coverage,Total_Goals,Covered_Goals
statechart._01_LightSwitchSimplified,BRANCH;METHODNOEXCEPTION;OUTPUT,0.906810035842294,76,68
statechart._01_LightSwitch,BRANCH;METHODNOEXCEPTION;OUTPUT,0.9559139784946237,83,80
statechart._01_no_hierarchySimplified,BRANCH;METHODNOEXCEPTION;OUTPUT,0.7828282828282829,188,135
statechart._01_no_hierarchy,BRANCH;METHODNOEXCEPTION;OUTPUT,0.6826923076923078,197,90
statechart._01_No_HistorySimplified,BRANCH;METHODNOEXCEPTION;OUTPUT,0.8207070707070706,254,205
statechart._01_No_History,BRANCH;METHODNOEXCEPTION;OUTPUT,0.6717676336218105,263,105
statechart._02_composite_statesSimplified,BRANCH;METHODNOEXCEPTION;OUTPUT,0.8292397660818714,224,186
statechart._02_composite_states,BRANCH;METHODNOEXCEPTION;OUTPUT,0.6790062307979442,233,100
statechart._02_DimmableLightSwitchSimplified,BRANCH;METHODNOEXCEPTION;OUTPUT,0.9084084084084084,89,80
statechart._02_DimmableLightSwitch,BRANCH;METHODNOEXCEPTION;OUTPUT,0.9608454608454609,101,97
statechart._02_shallow_historySimplified,BRANCH;METHODNOEXCEPTION;OUTPUT,0.8030519790176442,267,203
statechart._02_shallow_history,BRANCH;METHODNOEXCEPTION;OUTPUT,0.6689743005532479,276,107
statechart._03_deep_historySimplified,BRANCH;METHODNOEXCEPTION;OUTPUT,0.8031746031746031,279,212
statechart._03_deep_history,BRANCH;METHODNOEXCEPTION;OUTPUT,0.6641286660779838,288,107
statechart._03_MotionLightSwitchSimplified,BRANCH;METHODNOEXCEPTION;OUTPUT,0.9126984126984127,187,170
statechart._03_MotionLightSwitch,BRANCH;METHODNOEXCEPTION;OUTPUT,0.535923141186299,202,74
statechart._03_nested_composite_statesSimplified,BRANCH;METHODNOEXCEPTION;OUTPUT,0.8237373737373738,254,207
